Equipe;Nom;Poste;Age;Taille (cm);Masse (kg)
France;Selevasio TOLOFUA;3ème_ligne;23;186;116
France;Swan REBBADJ;2ème_ligne;26;202;116
France;Teddy BAUBIGNY;Talonneur;22;187;111
France;Teddy THOMAS;Ailier;27;185;98
France;Thomas RAMOS;Arrière;25;178;87
France;Uini ATONIO;Pilier;30;196;145
France;Vincent RATTEZ;Ailier;28;180;85
France;Virimi VAKATAWA;Centre;28;185;97
France;Yoram MOEFANA;Centre;20;182;97
Irlande;Andrew CONWAY;Ailier;29;180;92
Irlande;Andrew PORTER;Pilier;25;184;125
Irlande;Billy BURNS;Ouverture;26;183;86
Irlande;Bundee AKI;Centre;30;183;99
Irlande;Caelan DORIS;3ème_ligne;22;193;106
Irlande;Chris FARRELL;Centre;27;191;111
Irlande;Cian HEALY;Pilier;33;185;117
Irlande;CJ STANDER;3ème_ligne;30;189;114
Irlande;Conor MURRAY;Mêlée;31;188;94
Irlande;Dave KILCOYNE;Pilier;32;185;118
Irlande;David HEFFERNAN;Talonneur;30;185;108
Irlande;Ed BYRNE;Pilier;27;180;114
Irlande;Eric OSULLIVAN;Pilier;25;196;118
Irlande;Finlay BEALHAM;Pilier;29;185;123
Irlande;Garry RINGROSE;Centre;26;191;95
Irlande;Hugo KEENAN;Ailier;24;185;92
Irlande;Iain HENDERSON;2ème_ligne;28;198;116
Irlande;Jacob STOCKDALE;Centre;24;191;103
Irlande;James LOWE;Ailier;28;188;105
Irlande;James RYAN;2ème_ligne;24;203;116
Irlande;Jamison GIBSON-PARK;Mêlée;28;176;83
Irlande;John RYAN;Pilier;32;185;121
Irlande;Jonathan SEXTON;Ouverture;35;188;92
Irlande;Jordan LARMOUR;Ailier;23;178;91
Irlande;Josh VAN DER FLIER;3ème_ligne;27;183;105
Irlande;Keith EARLS;Centre;33;180;90
Irlande;Kieran MARMION;Mêlée;29;180;86
Irlande;Peter OMAHONY;3ème_ligne;31;191;108
Irlande;Quinn ROUX;2ème_ligne;30;196;122
Irlande;Rob HERRING;Talonneur;30;185;105
Irlande;Robbie HENSHAW;Centre;27;191;104
Irlande;Ronan KELLEHER;Talonneur;23;185;106
Irlande;Ross BYRNE;Ouverture;25;193;95
Irlande;Shane DALY;Centre;24;191;92
Irlande;Stuart MCCLOSKEY;Centre;28;193;111
Irlande;Tadhg BEIRNE;2ème_ligne;29;198;114
Irlande;Tadhg FURLONG;Pilier;28;183;123
Irlande;Will CONNORS;3ème_ligne;24;193;102
Italie;Braam STEYN;3ème_ligne;28;193;110
Italie;Carlo CANNA;Ouverture;28;190;93
Italie;Cherif TRAORÉ;Pilier;26;184;116
Italie;Cristian STOIAN;2ème_ligne;21;198;113
Italie;Daniele RIMPELLI;Pilier;23;188;110
Italie;Danilo FISCHETTI;Pilier;23;181;115
Italie;David SISI;3ème_ligne;28;193;117
Italie;Federico MORI;Centre;20;188;106
Italie;Federico RUZZA;2ème_ligne;26;198;108
Italie;Gianmarco LUCCHESI;Pilier;20;183;104
