Equipe;Nom;Poste;Age;Taille (cm);Masse (kg)
Ecosse;Chris HARRIS;Arrière;30;190;104
Ecosse;Duncan TAYLOR;Arrière;31;189;92
Ecosse;Huw JONES;Arrière;27;186;102
Ecosse;Sam JOHNSON;Arrière;27;185;102
Irlande;Bundee AKI;Arrière;30;183;99
Irlande;Chris FARRELL;Arrière;27;191;110
Irlande;Garry RINGROSE;Arrière;26;191;95
Irlande;Jacob STOCKDALE;Arrière;24;191;103
Irlande;Keith EARLS;Arrière;33;180;90
Irlande;Robbie HENSHAW;Arrière;27;191;103
Irlande;Shane DALY;Arrière;24;191;92
Irlande;Stuart MCCLOSKEY;Arrière;28;193;111
Pays-de-Galles;Johnny WILLIAMS;Arrière;24;189;105
Pays-de-Galles;Jonathan DAVIES;Arrière;32;186;104
Pays-de-Galles;Nick TOMPKINS;Arrière;25;182;93
Pays-de-Galles;Owen WATKIN;Arrière;24;188;112
France;Antoine DUPONT;Demi;24;174;85
France;Baptiste COUILLOUD;Demi;23;176;84
France;Baptiste SERIN;Demi;26;180;79
France;Sébastien BÉZY;Demi;29;174;78
Angleterre;Ben YOUNGS;Demi;31;179;92
Angleterre;Dan ROBSON;Demi;28;173;82
Italie;Gullo PALAZZANI;Demi;29;173;85
Italie;Marcello VIOLI;Demi;27;176;80
Italie;Stephen VARNEY;Demi;19;178;80
Ecosse;Ali PRICE;Demi;27;178;88
Ecosse;George HORNE;Demi;25;175;79
Ecosse;Sam HIDALGO-CLYNE;Demi;27;175;76
Ecosse;Scott STEELE;Demi;27;175;85
Irlande;Conor MURRAY;Demi;31;188;94
Irlande;Jamison GIBSON-PARK;Demi;28;176;83
Irlande;Kieran MARMION;Demi;29;180;85
Pays-de-Galles;Gareth DAVIES;Demi;30;178;88
Pays-de-Galles;Kieran HARDY;Demi;25;183;87
Pays-de-Galles;Lloyd WILLIAMS;Demi;31;183;87
Pays-de-Galles;Rhys WEBB;Demi;32;183;93
Pays-de-Galles;Tomos WILLIAMS;Demi;26;178;77
France;Louis CARBONEL;Demi;22;180;85
France;Matthieu JALIBERT;Demi;22;184;86
France;Romain NTAMACK;Demi;21;186;86
Angleterre;George FORD;Demi;27;178;86
Angleterre;Henry SLADE;Demi;27;188;87
